Event,Time,MinutesSinceStart
System Loading Complete,2017-06-21 10:50:21,0.0
Asset Loading Complete,2017-06-21 10:50:22,0.0
Storm Loading Complete,2017-06-21 10:50:22,0.0
Start Time,2017-06-21 10:50:21,0.0
Start Simulation,2017-06-21 10:50:21,0.0
Loading Complete,2017-06-21 10:50:22,0.0
Begin Iteration 1,2017-06-21 10:50:22,0.0
End Iteration1,2017-06-21 10:50:33,0.2
Begin Iteration2,2017-06-21 10:50:33,0.2
End Iteration2,2017-06-21 10:50:40,0.3
Begin Iteration3,2017-06-21 10:50:40,0.3
End Iteration3,2017-06-21 10:50:56,0.6
Begin Iteration4,2017-06-21 10:50:56,0.6
End Iteration4,2017-06-21 10:51:09,0.8
Begin Iteration5,2017-06-21 10:51:10,0.8
End Iteration5,2017-06-21 10:51:19,1.0
Begin Iteration6,2017-06-21 10:51:19,1.0
End Iteration6,2017-06-21 10:51:29,1.1
Begin Iteration7,2017-06-21 10:51:29,1.1
End Iteration7,2017-06-21 10:51:36,1.3
Begin Iteration8,2017-06-21 10:51:37,1.3
End Iteration8,2017-06-21 10:51:45,1.4
Begin Iteration9,2017-06-21 10:51:45,1.4
End Iteration9,2017-06-21 10:51:58,1.6
Begin Iteration10,2017-06-21 10:51:58,1.6
End Iteration10,2017-06-21 10:52:09,1.8
End Simulation,2017-06-21 10:52:28,2.11
